,Q,A,Unit
1,What is a linear classifier?,A linear classifier is a model that makes predictions based on a linear combination of input features. It decides the class by checking on which side of a decision boundary (a hyperplane) a data point lies.,1
2,How does a linear classifier make predictions?,A linear classifier predicts by calculating the dot product of input features with weights and adding a bias term. The sign of the output determines the class.,1
3,What is the objective function in a linear classifier?,"The objective function often used is the loss function, such as hinge loss in SVMs or cross-entropy in logistic regression, which measures the error between predicted and actual labels.",1
4,What is gradient descent?,Gradient descent is an optimization algorithm that iteratively updates model parameters to minimize a loss function. It moves in the direction of the negative gradient of the loss function.,1
5,How does learning rate affect gradient descent?,"The learning rate controls the step size in gradient descent. A small learning rate leads to slow convergence, while a large learning rate may overshoot the minimum, causing instability.",1
6,What is the role of the bias term in a linear classifier?,"The bias term allows the decision boundary to shift away from the origin, enabling the model to better fit the data, especially when the data is not centered around the origin.",1
7,What is the difference between batch gradient descent and stochastic gradient descent (SGD)?,"Batch gradient descent updates weights after computing the gradient over the entire dataset, while SGD updates weights after each individual training example, making it faster but noisier.",1
8,What is the significance of the decision boundary in a linear classifier?,The decision boundary separates the input space into regions corresponding to different class labels. It’s defined by the weights and bias in the model.,1
9,Why might gradient descent converge to a local minimum instead of a global minimum?,"Gradient descent may converge to a local minimum in non-convex functions, where multiple minima exist. However, for convex functions like those in linear classifiers, it converges to a global minimum.",1
10,How can overfitting be reduced in linear classifiers?,"Overfitting can be reduced using regularization techniques (like L1 or L2), which penalize large weights, or by using techniques like cross-validation, early stopping, or adding more training data.",1
11,What is the purpose of a loss function in machine learning?,"The loss function measures the difference between the predicted values and the actual values. It quantifies how well the model is performing, guiding the optimization process to minimize errors.",1
12,What is the difference between mean squared error (MSE) and cross-entropy loss?,MSE is used in regression tasks and measures the average squared difference between predicted and actual values. Cross-entropy loss is used in classification tasks and measures the difference between predicted probabilities and the actual class labels.,1
13,How does regularization affect the loss function?,"Regularization adds a penalty term to the loss function to discourage large model weights, preventing overfitting. Common regularization techniques include L1 (lasso) and L2 (ridge) regularization, which penalize the absolute sum and the square of weights, respectively.",1
